id,name,type,spatial,url,focus,member of,parent,based in,orcid,employer,affiliated in,involved in,start,end,keywords,lead
P120,Lukas Heinzmann,,,,,,,,https://orcid.org/0000-0002-4628-3865,G064,,PR004,,,,
P121,Alessandro Lattanzi,,,,,,,,https://orcid.org/0000-0002-2898-6874,G064,,PR004,,,,
P122,Walter Leimgruber,,,,,,,,,G057,,PR001,,,,
P123,Fabian Frei,,,,,,,,,G001,,PR001,,,,
P124,Nicole Peduzzi,,,,,,,,,G057,,PR001,,,,
P125,Daniel Schoeneck,,,,,,,,,G027,,PR001,,,,
P126,Murielle Cornut,,,,,,,,https://orcid.org/0000-0002-4899-1208,G057,,PR001,,,,
P127,Fabienne Lüthi,,,,,,,,,G057,,PR001,,,,
P128,Birgit Huber,,,,,,,,,G057,,PR001,,,,
P129,Max Frischknecht,,,,,,,,https://orcid.org/0000-0001-8043-1895,G002; G027,,PR001,,,,
P130,Simon Clematide,,,,,,,,https://orcid.org/0000-0003-1365-0662,G058,,PR003,,,,
P131,Marten Düring,,,,,,,,https://orcid.org/0000-0001-7411-771X,G070,,PR003,,,,
P132,Emanuela Boros,,,,,,,,https://orcid.org/0000-0001-6299-9452,G006,,,,,,
P133,Pauline Isabela Conti,,,,,,,,,G006,,PR003,,,,
P134,Manuel Julian Ehrenfeld,,,,,,,,,G006,,,,,,
P135,Paul Guhennec,,,,,,,,https://orcid.org/0000-0002-5490-5249,G006,G078; G021,,,,,
P136,Harm Den Boer,,,,,,,,https://orcid.org/0000-0001-6611-9803,G057,,PR008,,,,
P137,Sonja Hildebrand,,,,,,,,https://orcid.org/0000-0001-7997-5051,G051,,PR009; PR010,,,,
P138,Philip Ursprung,,,,,,,,https://orcid.org/0009-0000-6256-8900,G060,,PR009; PR010,,,,
P139,Maarten Delbeke,,,,,,,,https://orcid.org/0000-0003-4767-1808,G060,,PR010,,,,
P140,"Gerold Schneider
",,,,,,,,https://orcid.org/0000-0002-1905-6237,G058,PR010,,,,,
P141,Irina Davidovici,,,,,,,,https://orcid.org/0000-0001-7260-7133,G060,PR010,,,,,
P142,Serena Tolino,,,,,,,,https://orcid.org/0000-0001-7740-5805,G064,,PR012,,,,
P143,Barbara Studer,,,,,,,,,G079,PR012,,,,,
P144,Damian Elsig,,,,,,,,,G080,PR003,,,,,
P145,Aline Vonwiller,,,,,,,,,G057,,PR013,,,,
P146,Esther Baur,,,,,,,,,G075,PR013,,,,,
P147,Benjamin Hitz,,,,,,,,https://orcid.org/0000-0002-3208-4881,G057,,PR013,,,,
P148,Tristan Karch,,,,,,,,https://orcid.org/0000-0002-9931-1524,G006,,,,,,
P149,"Sven Najem-Meyer
",,,,,,,,,G006,,PR015,,,,
P150,"Gaël Paccard
",,,,,,,,,G006,,,,,,
P151,"Alexander Michael Rusnak
",,,,,,,,https://orcid.org/0009-0001-9017-3356,G006,,,,,,
P152,"Raimund Schnürer
",,,,,,,,https://orcid.org/0000-0002-7558-3621,G006,,,,,,
P153,"Beatrice Vaienti
",,,,,,,,https://orcid.org/0000-0002-2379-2974,G006,,PR019,,,,
